n,comparison,runtime
1000,8247,6.0 
1000,8247,5.0 
1000,8247,6.0 
1000,8247,5.0 
1000,8247,5.0 
1000,8247,7.0 
1000,8247,8.0 
1000,8247,10.0 
1000,8247,6.0 
1000,8247,10.0 
