n,comparison,runtime
1000,10630,16.0 
1000,10630,16.0 
1000,10630,20.0 
1000,10630,12.0 
1000,10630,24.0 
1000,10630,18.0 
1000,10630,25.0 
1000,10630,22.0 
1000,10630,24.0 
1000,10630,18.0 
